hhid,sectionb3,sectionb4,sectionb5,sectionb6,sectionb7,sectionb8,sectionb9,sectionb10,sectionb11,sectionb12,sectionb13,sectionb14,sectionb15
146,lem-teuf,1,1.5,kert,.375,0,,,,2,1.5,kert,.375
146,teuf(infertile),0,,,,0,,,,0,,,
147,lem (fertile),0,,,,0,,,,1,6,kert,1.5
147,lem-teuf,0,,,,0,,,,2,6,kert,1.5
147,teuf(infertile),0,,,,0,,,,0,,,
148,lem (fertile),6,5.5,kert,1.375,0,,,,0,,,
148,lem-teuf,1,2,kert,.5,0,,,,0,,,
148,teuf(infertile),1,1,kert,.25,0,,,,0,,,
149,lem (fertile),1,1,kert,.25,0,,,,4,7,kert,1.75
149,lem-teuf,0,,,,0,,,,4,7,kert,1.75
149,teuf(infertile),0,,,,0,,,,0,,,
150,lem (fertile),7,9.5,kert,2.375,0,,,,1,4,kert,1
150,lem-teuf,0,,,,0,,,,0,,,
150,teuf(infertile),0,,,,0,,,,0,,,
151,lem (fertile),6,30,kert,7.5,0,,,,1,4,kert,1
151,lem-teuf,1,5,kert,1.25,0,,,,0,,,
151,teuf(infertile),0,,,,0,,,,0,,,
152,lem (fertile),2,2.5,kert,.625,0,,,,0,,,
152,lem-teuf,4,2,kert,.5,0,,,,2,5,kert,1.25
152,teuf(infertile),0,,,,0,,,,0,,,
153,lem (fertile),3,2.5,kert,.625,1,3,kert,.75,1,1,kert,.25
153,lem-teuf,0,,,,0,,,,0,,,
153,teuf(infertile),0,,,,0,,,,0,,,
154,lem (fertile),4,5.5,kert,1.375,0,,,,0,,,
154,lem-teuf,0,,,,0,,,,0,,,
154,teuf(infertile),0,,,,0,,,,0,,,
155,lem (fertile),1,2,kert,.5,0,,,,2,2,kert,.5
155,lem-teuf,1,.5,kert,.125,0,,,,0,,,
155,teuf(infertile),0,,,,0,,,,0,,,
156,lem (fertile),8,10,kert,2.5,0,,,,1,1,kert,.25
156,lem-teuf,0,,,,0,,,,0,,,
156,teuf(infertile),0,,,,0,,,,0,,,
157,lem (fertile),1,1,kert,.25,0,,,,3,3,kert,.75
157,lem-teuf,1,1,kert,.25,0,,,,0,,,
157,teuf(infertile),0,,,,0,,,,0,,,
158,lem (fertile),1,1,kert,.25,2,5,kert,1.25,0,,,
158,lem-teuf,0,,,,0,,,,0,,,
158,teuf(infertile),0,,,,0,,,,0,,,
159,lem (fertile),1,2,kert,.5,0,,,,0,,,
159,lem-teuf,1,1,kert,.25,0,,,,0,,,
159,teuf(infertile),1,3,kert,.75,0,,,,0,,,
160,lem (fertile),1,1,kert,.25,0,,,,0,,,
160,lem-teuf,2,4,kert,1,0,,,,0,,,
160,teuf(infertile),0,,,,0,,,,0,,,
161,lem (fertile),3,10,kert,2.5,0,,,,0,,,
161,lem-teuf,2,4,kert,1,0,,,,0,,,
161,teuf(infertile),0,,,,0,,,,0,,,
162,lem (fertile),1,2,kert,.5,0,,,,1,6,kert,1.5
162,lem-teuf,0,,,,0,,,,1,2,kert,.5
162,teuf(infertile),0,,,,0,,,,0,,,
163,lem (fertile),1,1,kert,.25,0,,,,0,,,
163,lem-teuf,0,,,,0,,,,2,2,kert,.5
163,teuf(infertile),0,,,,0,,,,0,,,
164,lem (fertile),6,8.5,kert,2.125,0,,,,0,,,
164,lem-teuf,3,6.8000002,kert,1.625,0,,,,0,,,
164,teuf(infertile),0,,,,0,,,,0,,,
165,lem (fertile),4,7.5,kert,1.875,0,,,,0,,,
165,lem-teuf,0,,,,0,,,,0,,,
165,teuf(infertile),0,,,,0,,,,0,,,
166,lem (fertile),9,13.25,kert,3.3125,0,,,,0,,,
166,lem-teuf,0,,,,0,,,,0,,,
166,teuf(infertile),0,,,,0,,,,0,,,
167,lem (fertile),2,1.25,kert,.3125,0,,,,0,,,
167,lem-teuf,0,,,,0,,,,0,,,
167,teuf(infertile),0,,,,0,,,,0,,,
168,lem (fertile),0,,,,0,,,,0,,,
168,lem-teuf,3,3.25,kert,.8125,0,,,,0,,,
168,teuf(infertile),0,,,,0,,,,0,,,
169,lem (fertile),1,2,kert,.5,0,,,,2,5,kert,1.25
169,lem-teuf,0,,,,0,,,,0,,,
169,teuf(infertile),0,,,,0,,,,0,,,
170,lem (fertile),0,,,,0,,,,3,5,kert,1.25
